city,aqi
重庆,优(一级)
北京,良(二级)
天津,轻度污染(三级)
上海,优(一级)
济南,良(二级)
青岛,优(一级)
滨州,优(一级)
德州,优(一级)
东营,优(一级)
菏泽,良(二级)
济宁,良(二级)
莱芜,良(二级)
聊城,良(二级)
临沂,良(二级)
日照,良(二级)
泰安,良(二级)
潍坊,优(一级)
威海,优(一级)
烟台,优(一级)
淄博,良(二级)
枣庄,良(二级)
胶南,良(二级)
胶州,优(一级)
即墨,优(一级)
莱西,优(一级)
莱州,优(一级)
蓬莱,
平度,优(一级)
荣成,优(一级)
乳山,优(一级)
寿光,优(一级)
文登,优(一级)
章丘,良(二级)
招远,优(一级)
南京,良(二级)
苏州,优(一级)
南通,优(一级)
徐州,良(二级)
连云港,良(二级)
无锡,优(一级)
常州,优(一级)
扬州,良(二级)
泰州,良(二级)
镇江,良(二级)
宿迁,良(二级)
淮安,优(一级)
盐城,优(一级)
常熟,优(一级)
海门,优(一级)
江阴,优(一级)
金坛,良(二级)
句容,良(二级)
昆山,优(一级)
溧阳,优(一级)
太仓,优(一级)
吴江区,优(一级)
宜兴,优(一级)
张家港,优(一级)
广州,优(一级)
深圳,优(一级)
珠海,优(一级)
佛山,良(二级)
中山,优(一级)
江门,优(一级)
东莞,良(二级)
惠州,优(一级)
肇庆,良(二级)
河源,优(一级)
汕头,良(二级)
韶关,优(一级)
清远,优(一级)
潮州,优(一级)
揭阳,良(二级)
茂名,良(二级)
梅州,优(一级)
汕尾,优(一级)
阳江,良(二级)
云浮,优(一级)
湛江,优(一级)
宁波,优(一级)
杭州,良(二级)
绍兴,良(二级)
温州,良(二级)
舟山,优(一级)
金华,优(一级)
湖州,良(二级)
嘉兴,优(一级)
台州,优(一级)
衢州,优(一级)
丽水,良(二级)
富阳,良(二级)
临安,良(二级)
义乌,良(二级)
诸暨,良(二级)
石家庄,良(二级)
唐山,轻度污染(三级)
邯郸,良(二级)
保定,良(二级)
秦皇岛,良(二级)
承德,优(一级)
廊坊,轻度污染(三级)
张家口,优(一级)
衡水,良(二级)
邢台,良(二级)
沧州,良(二级)
沈阳,良(二级)
大连,优(一级)
丹东,优(一级)
葫芦岛,优(一级)
盘锦,优(一级)
营口,良(二级)
鞍山,良(二级)
本溪,良(二级)
抚顺,良(二级)
锦州,轻度污染(三级)
瓦房店,
成都,优(一级)
德阳,优(一级)
泸州,优(一级)
绵阳,优(一级)
南充,优(一级)
攀枝花,良(二级)
宜宾,优(一级)
自贡,优(一级)
郑州,良(二级)
安阳,良(二级)
焦作,轻度污染(三级)
开封,良(二级)
洛阳,良(二级)
平顶山,轻度污染(三级)
三门峡,良(二级)
长沙,优(一级)
株洲,优(一级)
湘潭,优(一级)
常德,优(一级)
岳阳,良(二级)
张家界,优(一级)
西安,良(二级)
渭南,良(二级)
宝鸡,良(二级)
咸阳 ,轻度污染(三级)
延安,良(二级)
铜川,良(二级)
太原,良(二级)
长治,轻度污染(三级)
大同,优(一级)
临汾,良(二级)
阳泉,良(二级)
南宁,良(二级)
柳州,优(一级)
北海,优(一级)
桂林,优(一级)
哈尔滨,良(二级)
大庆,优(一级)
牡丹江,优(一级)
齐齐哈尔,良(二级)
呼和浩特,良(二级)
包头,良(二级)
鄂尔多斯,良(二级)
赤峰,
合肥,良(二级)
马鞍山,优(一级)
芜湖,优(一级)
厦门,优(一级)
福州,优(一级)
泉州,优(一级)
兰州,良(二级)
嘉峪关,良(二级)
金昌,良(二级)
武汉,良(二级)
荆州,优(一级)
宜昌,优(一级)
乌鲁木齐,优(一级)
克拉玛依,优(一级)
库尔勒,轻度污染(三级)
昆明,优(一级)
玉溪,优(一级)
曲靖,优(一级)
长春,良(二级)
吉林,良(二级)
银川,优(一级)
石嘴山,良(二级)
南昌,良(二级)
九江,良(二级)
海口,优(一级)
三亚,优(一级)
贵阳,优(一级)
遵义,优(一级)
西宁,良(二级)
拉萨,优(一级)
